date,cured,deaths,confirmed,cfr
30-01-2020,0,0,1,0
31-01-2020,0,0,1,0
01-02-2020,0,0,1,0
02-02-2020,0,0,1,0
03-02-2020,0,0,1,0
04-02-2020,0,0,1,0
05-02-2020,0,0,1,0
06-02-2020,0,0,0,0
07-02-2020,0,0,0,0
08-02-2020,0,0,0,0
09-02-2020,0,0,0,0
10-02-2020,0,0,0,0
11-02-2020,0,0,0,0
12-02-2020,0,0,0,0
13-02-2020,0,0,0,0
14-02-2020,0,0,0,0
15-02-2020,0,0,0,0
16-02-2020,0,0,0,0
17-02-2020,0,0,0,0
18-02-2020,0,0,0,0
19-02-2020,0,0,0,0
20-02-2020,0,0,0,0
21-02-2020,0,0,0,0
22-02-2020,0,0,0,0
23-02-2020,0,0,0,0
24-02-2020,0,0,0,0
25-02-2020,0,0,0,0
26-02-2020,0,0,0,0
27-02-2020,0,0,0,0
28-02-2020,0,0,0,0
29-02-2020,0,0,0,0
01-03-2020,0,0,0,0
02-03-2020,0,0,2,0
03-03-2020,3,0,1,0
04-03-2020,0,0,22,0
05-03-2020,0,0,2,0
06-03-2020,0,0,1,0
07-03-2020,0,0,3,0
08-03-2020,0,0,5,0
09-03-2020,0,0,7,0
10-03-2020,0,0,12,0
11-03-2020,0,0,2,0
12-03-2020,0,0,14,0
13-03-2020,0,1,7,0
14-03-2020,7,1,3,0.019607843
15-03-2020,3,0,26,0.039215686
16-03-2020,0,0,4,0.027777778
17-03-2020,1,1,23,0.028985507
18-03-2020,0,0,14,0.0375
19-03-2020,6,1,22,0.032608696
20-03-2020,3,0,50,0.04
21-03-2020,0,0,60,0.020979021
22-03-2020,1,3,77,0.01
23-03-2020,0,0,73,0.019920319
24-03-2020,16,2,86,0.015625
25-03-2020,3,1,87,0.015665796
26-03-2020,2,5,88,0.015350877
27-03-2020,22,2,30,0.021072797
28-03-2020,13,2,185,0.025896414
29-03-2020,16,8,115,0.023923445
30-03-2020,6,4,227,0.030075188
31-03-2020,22,4,146,0.029304029
01-04-2020,20,6,437,0.029579067
02-04-2020,12,12,235,0.025223759
03-04-2020,7,9,478,0.027616279
04-04-2020,50,13,525,0.024671053
05-04-2020,62,8,505,0.025878004
06-04-2020,44,28,704,0.02192639
07-04-2020,34,13,508,0.026393929
08-04-2020,58,25,485,0.026230475
09-04-2020,67,20,591,0.031386225
10-04-2020,38,37,896,0.030550435
11-04-2020,137,36,768,0.034163701
